text,f1,f2,f3,f4,f5,f6,f7,f8
"Хотела купить на замену старых,по итогу эти  ужаснотупые ,не удобные ,рвут кутикулу ,а не режут.",1,1,1.0,11,13,4.2727272727272725,18,36
Запах по сравнению с обычным DOVE никакой. Оно не парфюмированное. Только баночки симпатичные и всё,10,6,2.7,46,4,4.434782608695652,90,109
"Кабель подошёл, хорошо работает.",4,4,4.0,14,0,4.5,4,6
"Восторг! Очень приятный аромат, держится долго, очень удобный формат для сумочки.",6,6,5.0,374,30,4.7727272727272725,14,15
Визуально все хорошо. Не пробовали. Купили в подарок,19,18,5.0,6,4,5.0,26,33
"Коробка в состоянии,, прошла Афган,,! Гладкая кожа носков сапог тоже уже не выглядит новой. Но сапоги вернула совсем не по этим причинам. Дело в том, что всамой модели сапог странное голенище. Дизайнер просчитался, решил вставить в эскиз замок, хотя стоило обойтись резинкой, дающей возможность вместить любую толщину икры женской ножки. Замок топорщит, держит странную форму, что портит вид сапог.",1,1,3.0,8,4,3.5,0,3
Джинсы хорошие качество отличное но дороговаты и Малы очень  брал на два размера больше но увы так что возврат,2,2,3.0,173,34,4.22543352601156,1,7
Хорошее качество,5,4,5.0,30,1,4.6,8,8
"Камеры не закрывает, камеры в ровень с чехлом",1,1,1.0,210,90,4.6571428571428575,2,2
"Юлия не могли бы Вы проверить стеганку которую я вернула нет ли в карманах ключ от машин, я боюсь что в примерочной я по инерции их положила в карман и вернула позвони если есть по этому номеру 287896096",1,1,5.0,337,90,4.71513353115727,0,1
"Хорошо упакован, Оригенал 👌🏻спасибо",12,12,5.0,155,68,4.354838709677419,15,19
Оыоырыгыоцрцныоцн,2,2,5.0,718,178,4.554317548746518,2,6
"Отличный рюкзак. Действительно, пахнет новым, приятный запах. Молнии хорошо застегиваются. Качество хорошее. Посмотрим, как в использовании себя проявит. Пришел товар быстро.",1,1,5.0,132,15,4.916666666666667,3,4
"Доставка-скорость света! Отличная ёмкость, кажется большеватой. НО! под любой стик мыла и пена остаётся внутри и не нужно собирать снаружи. Крышка садится не туго и не болтается. Транспортная упаковка надёжная. Всё без повреждений.",35,34,4.571428571428571,18,1,4.833333333333333,44,50
"Возврат! Во-первых, задал вопрос продавцу, обратной связи ноль! Во-вторых, кошелек далеко не маленький и не тонкий. Его толщина явно не 1 см.  2 см + и это он еще пустой. В-третьих - самое главное, карты не влазиет в отделения, мм 4-5 не хватает. В целом по качеству кошелек неплохой, но отделения под карты расстроили((",3,3,4.0,6,1,3.1666666666666665,2,4
Цена качество соответствует,5,5,4.6,116,13,4.7844827586206895,21,49
"Куртка просто ужас💩заказала три разных цветов, и все одинаковые: кривые какие-то, наполнитель распределен неравномерно, у одной вообще кнопки не было. Пришлось ещё и за возврат платить(",1,1,2.0,42,13,4.119047619047619,10,16
Товар пришёл с браком! Матрица не исправна!,1,1,1.0,43,7,3.8372093023255816,7,12
"Очень была расстроенна таким отвратительно упакованным товаром. Ужасная упаковка вся разорвала, где-то скотчем склеена. Хочется спросить у продовца, вы вообще смотрите что вы за товар  отправляете?Вообщем к покупке не советую.",2,2,3.0,76,34,2.986842105263158,37,145
"Здравствуйте! Товар получила, покупала подарок детям, нам очень понравилась. Соответствует как в картинки рисунки все аккуратно ни какого брака нет, фиксаторы даже запасом есть все отлично👍👍👍👍 спасибо большое за быструю сборку продавцу💐💐💐. И спасибо производителю💋💋💋",23,22,5.0,449,148,4.494432071269488,37,67
"Большемерит очень сильно, но свитшот классный",4,1,1.75,5,1,4.8,17,37
"Красивые, мягкие и удобные тряпочки",36,33,4.527777777777778,17,5,5.0,55,99
Пришли за два дня,6,4,5.0,21,2,5.0,27,74
︎ ︎ ︎ ︎ ︎ ︎,8,7,5.0,96,27,4.520833333333333,12,13
В одном комплекте 3ситочки за всё 147платили,3,3,4.666666666666667,36,10,4.722222222222222,5,7
"Смывает плохо, щиплет глаза",9,9,4.222222222222222,382,35,4.384816753926701,34,42
"Давно мечтала  купить духи Может быть, и осуществила свою мечту.  Спасибо огромное!!!",10,10,5.0,205,23,3.570731707317073,22,41
"Удобная и качественная юбка. На рост 168, ОТ 68, ОБ 98 подошла идеально.",2,2,5.0,2397,601,4.832707551105549,6,7
Отличные лоферы за такую цену,20,20,4.6,7,0,4.571428571428571,46,66
"Валенки прикольные, интересные. Но пришлось вернуть, т.к. на мой 40-ой размер 41-ый оказался мал, тесновато было ноге.",8,8,4.5,196,46,4.801020408163265,36,134
"пришла книга быстро,хорошо запакована",3,3,5.0,396,87,4.83080808080808,12,13
"Кофточка очень даже любо, но увы я со своим ростом 160 в ней просто утонула(((  почти до колен, а хотелось бы слегка прикрывающую попу.",2,2,5.0,106,42,4.726415094339623,2,12
"Пришла ручка на 4гб, отказ",1,1,1.0,3,2,2.6666666666666665,8,155
"Шпарит как на газу, очень мощная. Ставлю вышку!",1,1,5.0,35,6,4.628571428571429,1,1
"Заказала контейнер с подогревом от сети и от автомобиля, пришел контейнер только с зарядкой от автомобиля, на фото было с зарядкой от сети и от автомобиля и было написано, что и от сети тоже, обманом занимаетесь ещё при возврате сняли деньги 100 рублей, ещё запрашиваете оценку, только минус могу вам поставить",1,1,1.0,7,0,1.8571428571428568,1,2
Не заказывал товар но мне хотели его впарить,4,3,2.75,730,203,4.7972602739726025,8,25
"Брюки очень классные!,но сама заказала не тот размер ,перезакажу.",2,2,5.0,172,35,4.453488372093023,2,9
"Второй раз худею с помощью Селтомикс, результаты хорошие. Удобен в использовании, нравится что таблица есть, притупляет чувство голода.",2,2,5.0,3068,930,4.320078226857888,0,2
Разочарована. Прислали другую модель. Оформлен возврат как неверное вложение Но 150 рублей за возврат удержали. Очень неприятное впечатление.,2,2,3.0,15,3,3.733333333333333,3,8
"Заказывала 2 размера на примерку. Один не подошёл, а платье 50 размера было совсем другого фасона. С фатиновой юбкой. Мерить не стала.  Грустно.",1,1,3.0,29,6,4.448275862068965,1,6
"На ощупь материал очень хороший. А когда одел и провёл по груди и животу, то чувствуется волна от полосочек. Топорщится у подмышек. Скорее всего нужен размер меньше. Заказывал 52, а сейчас буду заказывать 50.",1,1,5.0,49,2,4.510204081632653,3,8
"Сзади шнуровка , внутри мех и внешне выглядит очень хорошо. Качественно изготовлены. Мне подошли.",40,2,5.0,4,6,4.5,13,43
Товар  пришли  но не  подошёл  не правильно  отправили,1,1,1.0,7,0,1.0,0,2
"оочень крутое платье! но сначала заказала XS и не влезла в него,хотя по размерной сетке он соответствует моим параметрам. размер S подошёл идеально)",1,1,5.0,8979,3247,4.790423162583519,4,5
"Пришли футзалки не в лучшем виде. Местами пятна неизвестно от чего. Одно, что обидно не подошли по ширине стопы.",1,1,3.0,35,11,4.171428571428572,2,5
"Замечательные, легкие,красивые! На свой 38, взяла 41!!! Широкая стопа, и высокий подъем. Сели идеально! Благодарю продавца и доставку👏👏👏",127,87,4.803149606299213,10,3,5.0,211,356
"Замечательные, легкие,красивые! На свой 38, взяла 41!!! Широкая стопа, и высокий подъем. Сели идеально! Благодарю продавца и доставку👏👏👏",127,87,4.803149606299213,10,3,5.0,211,356
"Товар имеет запах клеёнки. Пришел с многочисленным браком: отсутствовала внутренняя пуговица на поясе брюк, швы во многих местах расходятся (шов на внутреннем стыке правой и левой брючин, нижний край молнии в гульфике) и повсюду торчат нитки. Качество очень расстроило, поэтому отказ",3,3,3.333333333333333,2003,439,4.504243634548177,20,30
Прислали ношенные сапоги. *спасибо* поставщиику. Будте внимательны.,1,1,1.0,96,47,3.8854166666666665,1,3
"Пришел в непонятной упаковке вскрытая ,а сама куртка что ношенная",2,2,3.0,6,1,3.5,2,4
Очень большемерят И не сказано что за возврат берут деньги.,4,4,1.25,7,0,4.285714285714286,3,4
"Контейнера хорошие, мне они очень помогут в моём производстве. Забрала не смотря на скол уголка, потому что пластмасс понимаю что не вечный. Для меня не критично, но может стоит обратить внимание на упаковку, для кого то будет возврат. Фото прилагаю",7,7,4.571428571428571,140,53,4.235714285714286,9,24
Заказывал 2 раза пришëл не тот товар и по качеству та очень плохая,1,1,1.0,133,8,4.7669172932330826,1,3
"Товар доставлен в срок. Заявленным характеристикам соответствует. Трикотаж плотный и хорошо тянется. Приятный на ощупь и к телу. Сшит аккуратно. Горловина не давит. Размеру соответствует. Посмотрим, как будет в носке. Надеюсь не сядет при стирке и не пойдет катышками. Спасибо.",82,71,4.548780487804878,116,13,4.879310344827586,114,171
"по размеру на российский 52 подошел размер производителя 32, материал плотный, тянется, на весну и прохладное лето. На рост 160 чуть подвернула, сели отлично, прямо то, что нужно. Качество пошива хорошее, швы все ровные, нитки не торчали, карманы все прошиты. Единственный минус-цвет темнее, чем на фото, но возможно это было такое освещение",1,1,5.0,1142,249,4.530647985989492,2,2
Не полный комплект. Настроение испорчено.,1,1,1.0,4,0,2.0,9,15
"Резкий неприятный запах, чистый спирт🤮🤮🤮🤮🤮🤮",1,1,1.0,147,63,4.680272108843537,1,3
"Шикарная сумка! Еще и с инструментом! Взяла бабушке на огород,думаю,что будет довольна) Спасибо!",638,550,4.7115987460815045,5,1,5.0,731,2137
"Идеальная дублёнка! Отлично села на рост 180 см, хорошая длина, попу прикрывает, рукав НЕ короткий. Мерила такую же в магазине - показалась дубовой, руки тяжело было сгибать, эта пошита из другого материала, намного мягче, в ней очень комфортно, любовь 🥰",1,1,5.0,54,34,4.203703703703703,22,23
Отличные пакеты.,11,11,5.0,305,46,4.645901639344262,32,308
К камню претензий нет. Неограненный берилл. Все ок !  Но металл почему то местами цвета серебристого и это точно не патина. Не отшлифован в некоторых местах. Качество радикально отличается от другого кольца бронзового.,59,44,4.576271186440678,2,2,3.5,82,120
Добрый день ! Пришел в с дефектом. ЖК дисплей неисправном состоянии! Вынужден вернуть !,1,1,1.0,285,130,4.445614035087719,1,8
"Очень аккуратно сшиты, красивые, но маломерят на три размера, на 38 взяла 41.",10,10,4.8,19,5,4.368421052631579,26,91
Классная вещь.,5,2,5.0,100,18,5.0,4,4
"Хороший халатик, отличное качество, стоит постирать сразу!!!",1,1,5.0,43,11,4.883720930232558,1,1
"Лампа работает 2 месяца. Все хорошо. Птичкам очень понравилось, стали активнее. Наши любимчики просто ожили. Поведение изменилось, стали игривые. Мы так поняли, что стали лучше видеть так как проявился интерес к овощам и фруктам. Вкусовые рецепторы явно улучшились. Стали различать вкусы. И всё-таки лампа оказалась незаменимой вещью в ежедневном рационе наших птичек. Конечно, вначале мало надежд было, но как оказалось это очень необходимая вещь для жизнедеятельности попугаев. Очень рекомендую!",3,3,5.0,84,48,4.011904761904762,2,24
"Шапка по качеству просто ужасная, на ощупь неприятная вообще",28,27,4.25,132,67,4.386363636363637,56,90
Намного маленький размер даже нога в кроссовок не залезла  Красовки совсем не такие как на фото  Материал очень мягкий даже не держат форму красовки,4,4,4.0,26,3,3.8461538461538463,24,33
"Спасибо мой размер стал 3,а было 0 хотя честно хз мне лично х$йня",3,3,5.0,747,152,4.456492637215529,3,14
"Thank you, за быструю доставку.",4,4,5.0,92,24,4.5978260869565215,5,12
Пришли брюки другой фирмы,4,1,1.75,2,0,1.0,17,37
Чехол классный))),4,4,5.0,1,0,5.0,5,5
"Симпатичные ботинки, но очень узкие",1,1,5.0,10,2,4.6,9,12
"Все отлично,по размеру подошло,советую)",1,1,5.0,8979,3247,4.790423162583519,3,7
"Куртка непонятная, заказывали 2 размера, плечи широкие, ворот узкий, вообще не застегнулся!",1,1,1.0,10,0,4.1,4,7
"Мне подошли размер в размер. Бежевые ,смотрятся великолепно. Мягкие и теплые.",40,2,5.0,6,9,3.6666666666666665,13,43
"Заказала пастельно-серый, пришел черный. Отказ. Но на ощупь понравился.",7,3,4.571428571428571,10,2,4.0,33,76
"пришёл в солярке, видно уже кто то пробовал... не стал забирать... просто так , я думаю, предыдущий покупатель не вернул бы ....",7,5,4.428571428571429,95,9,4.294736842105263,8,9
"Очень сильно маломерят,ношу 39 заказала 40 малы, пальцы в кулак свернулись,думаю 41 тоже будет впритык,а на лето с учетом того,что ноги отекают вообще не вариант.",2,2,4.0,117,42,4.495726495726496,4,5
"Мне подошли размер в размер. Легко надела . Удобные,подошва литая,надеюсь не промокнут.",40,2,5.0,8,9,4.25,13,43
Пришел не тот размер.,2,2,1.0,33,5,4.090909090909091,3,8
Приехал весь в царапинах,2,2,3.0,653,151,4.309341500765697,3,5
Пришел брак,1,1,1.0,620,91,4.533870967741936,1,3
"Заявлено: натуральная кожа, по факту эко-кожа. Коробка пришла мятая, будто её пинали. Не рекомендую продавца.",1,1,1.0,36,12,3.4166666666666665,18,23
Вместо шампуня прислали гель для душа .,6,6,4.333333333333333,9301,1177,4.3608214170519295,65,92
"Нужна была рубашка для мероприятия. Выбор пал на эту рубашку. Получил в хорошей упаковке, качество порадовало, выглядит как на картинке.  Размер соответствует, все подошло. Рекомендую к покупке.",1,1,5.0,49,11,4.448979591836735,1,4
"В целом качество хорошее, но на рост 175см короткое, как туника🤷‍♀️",2,2,4.5,2,0,3.5,8,12
"Прислали совешенно другой товар!!! Заказывала черные брючные молнии,10 шт .прислали  курточную одну,синего цвета !Да ещё содрали100р за возврат!",8,8,4.125,27,9,4.703703703703703,7,7
"Нужен был 8+, прислали 8 обычный",1,1,1.0,184,88,2.9347826086956523,0,1
Пришёл совсем другой ежедневник,1,1,1.0,3,1,1.6666666666666667,0,3
"Стоит задуматься над упаковкой данного товара для доставки!!! В таком состоянии товар поступает к покупателю, такое отношение к покупателю не допустимо. Ещё и за возврат деньги списали. Сам товар на 5 звёзд.",6,6,3.6666666666666665,458,52,4.467248908296943,43,81
Все хорошо и качественно спасибо,7,1,4.857142857142857,82,9,4.475609756097561,3,12
Все работает,1,1,5.0,5,0,4.4,1,3
"Толстый флис ,фирма ТВОЁ. Широкие, большимерят.",530,23,4.349056603773585,1,0,5.0,873,2123
"Ну очень маленькая игрушка, только на малюхастенькую Ёлочку. Была бы больше по размеру, было бы супер",179,120,4.106145251396648,2,3,4.5,157,373
Второй раз закала фоторамку и вновь разочарование. Вопрос-почему списывают деньга за возврат НЕКАЧЕСТВЕННОГО товара???!,1,1,1.0,56,34,2.875,0,2
"товар пришол,очень нравится",7,6,4.857142857142857,107,48,4.841121495327103,20,155
Очень плохой запах!!! А так неплохая вещь!,2,2,4.0,3638,605,4.449697636063771,5,10
Норм точилка,1,1,5.0,53,19,4.39622641509434,4,15
"Блузка очень понравилась. Качество хорошее. К сожалению маломерит. Жалко, но возврат",2,2,4.0,769,166,4.29778933680104,0,4
